Num Hidden Layers,Hidden Activation,Number Decoder Layers,Hidden Size,Num Attention Heads,Projection Size,Intermediate Size,Relative Attention Buckets,Relative Attention Max Distance,Dropout Rate,Feed Forward Projection,Learning Rate,Batch Size,Model Size,Rouge Score
4,gelu,2,408,6,13,1200,16,111,0.3,relu,0.0001,16,79.988352,0.11608837226115812
1,gelu_new,5,371,7,18,331,31,78,0.4,relu,5e-05,8,61.788076,0.09435738097206502
5,relu,4,338,2,56,1322,32,95,0.1,gated-gelu,5e-05,8,83.4784,0.12527321436332692
1,silu,5,159,3,8,1462,5,53,0.5,relu,0.0001,16,32.257404,0.11605561610796
3,relu,5,426,6,10,1304,6,58,0.4,relu,0.001,8,95.606616,0.14344486865278624
2,silu,4,320,4,26,446,27,73,0.5,relu,0.001,16,53.287264,0.14344486865278624
3,relu,3,108,4,33,1976,28,45,0.4,gated-gelu,0.0001,8,26.171888,0.10235278689548488
5,silu,6,339,1,54,1391,20,52,0.2,relu,0.0001,16,90.043984,0.12645141727038522
3,gelu_new,2,126,6,15,672,10,62,0.3,gated-gelu,0.001,16,20.842896,0.05706667104183117
5,silu,2,474,1,57,462,31,89,0.3,relu,0.001,16,77.049896,0.14344486865278624
4,gelu_new,5,56,4,60,724,8,98,0.5,gated-gelu,5e-05,8,13.125984,0.057879521416501045
3,gelu,5,455,5,2,965,17,70,0.4,relu,0.001,16,87.51174,0.1422723390983688
5,gelu,4,330,5,55,1902,16,47,0.2,gated-gelu,0.001,8,106.47184,0.08818697182487216
5,silu,3,70,5,6,1693,17,104,0.4,relu,0.0001,8,16.9488,0.1064425490357203
2,silu,5,44,4,53,1002,20,109,0.3,relu,5e-05,16,9.91384,0.08973415056015902
4,silu,5,174,6,3,638,13,123,0.2,gated-gelu,0.001,16,31.054056,0.14500776127606474
2,relu,2,343,7,25,542,22,114,0.3,gated-gelu,0.0001,8,55.770288,0.09301761111907964
2,silu,4,388,2,63,172,23,115,0.4,relu,0.001,16,60.872912,0.045841965784771614
3,silu,3,120,5,1,1365,24,83,0.4,gated-gelu,0.001,16,23.36592,0.13658486986376914
1,silu,1,212,4,38,1614,19,55,0.4,gated-gelu,0.0001,8,34.248784,0.09324088768462604
3,gelu_new,5,510,6,46,85,12,34,0.3,gated-gelu,0.0001,8,97.583976,0.07046368469848274
1,relu,3,456,8,39,113,9,117,0.3,relu,5e-05,8,76.158048,0.09868298398928536
3,gelu,6,288,4,45,1480,10,38,0.3,relu,0.001,8,80.140352,0.13903957127330882
2,relu,3,88,8,4,1134,13,93,0.1,gated-gelu,5e-05,16,15.65744,0.08142900223602419
3,relu,6,84,2,43,1069,30,81,0.5,relu,0.0001,8,18.993888,0.11172918689759083
2,gelu,3,222,3,25,1052,21,126,0.3,relu,0.0001,8,39.991584,0.08820273971009146
2,silu,2,190,5,63,504,31,42,0.2,relu,0.0001,16,33.21628,0.08724099380840195
5,gelu,3,309,3,35,1556,21,63,0.2,relu,0.001,16,76.183836,0.13679335746399898
6,silu,1,370,5,12,1764,24,91,0.3,gated-gelu,0.0001,8,86.9258,0.10981611134225576
2,relu,1,318,6,60,1625,12,36,0.5,relu,0.0001,8,60.571944,0
4,silu,3,244,4,57,401,31,46,0.2,gated-gelu,0.0001,8,45.72952,0.12267512280933018
6,relu,6,146,2,43,586,29,76,0.1,gated-gelu,5e-05,16,30.595056,0.11984497413253789
4,gelu,2,376,2,50,205,24,66,0.3,gated-gelu,0.0001,8,56.815488,0.07424211190677457
5,silu,4,498,6,18,1934,13,96,0.3,relu,0.0001,16,144.524208,0.1049081748990148
2,silu,5,258,1,36,768,16,79,0.4,relu,5e-05,8,46.02836,0.10025446575883246
2,silu,3,266,7,52,1821,18,35,0.3,gated-gelu,0.0001,8,65.94028,0.0033321803711424867
4,relu,4,468,3,5,1215,4,65,0.4,gated-gelu,0.001,8,97.872,0.13113036782882703
1,relu,2,483,7,20,2019,12,72,0.4,relu,0.0001,8,90.85104,0.08006886036204933
5,silu,2,405,3,40,233,27,57,0.5,relu,0.001,8,64.314648,0.06049952742183891
3,relu,4,357,7,7,1669,25,122,0.4,relu,0.0001,8,82.314176,0.11718069567533733
1,relu,3,48,6,31,1346,27,60,0.2,relu,0.001,16,9.234384,0.13527177406544963
4,gelu_new,4,204,3,9,46,10,48,0.2,gated-gelu,0.0001,8,27.869904,0.08353837155386588
2,gelu_new,3,282,6,58,1431,17,50,0.2,gated-gelu,5e-05,16,64.929624,0.10889700164858923
6,gelu_new,3,297,3,22,1965,7,54,0.5,relu,5e-05,8,83.945436,0.08863339842156331
5,gelu_new,3,132,3,21,361,23,39,0.4,gated-gelu,5e-05,16,21.473784,0.09484418640544888
4,relu,1,279,1,50,1236,25,41,0.3,gated-gelu,0.0001,16,50.971268,0.0005928894634776988
4,silu,4,184,4,59,1861,15,113,0.4,relu,0.0001,16,53.894816,0.10458756571770655
2,silu,2,30,5,39,160,7,112,0.2,gated-gelu,0.0001,16,4.56892,0.057879521416501045
1,relu,3,420,7,19,1783,26,128,0.4,gated-gelu,0.0001,16,84.171136,0.09763273448779605
3,gelu,5,20,4,30,865,29,109,0.5,gated-gelu,0.0001,16,4.177168,0
3,silu,2,153,1,62,1807,28,119,0.2,relu,0.0001,16,31.775264,0.10887188492386116
6,relu,6,196,7,23,311,28,102,0.2,gated-gelu,0.0001,8,40.13296,0.10891164423490797
5,gelu_new,2,276,6,28,2040,8,105,0.2,gated-gelu,0.0001,8,73.665888,0.12610027551225228
5,relu,2,444,6,47,854,22,77,0.1,relu,5e-05,16,96.306432,0.12022100604015971
4,relu,4,79,1,40,1168,9,98,0.4,relu,0.0001,16,16.662752,0.11088124993913308
5,gelu,5,245,5,32,36,18,120,0.4,gated-gelu,0.0001,16,41.59878,0
1,gelu_new,6,480,2,41,735,14,91,0.1,gated-gelu,5e-05,16,89.618144,0.1343338067886825
4,gelu,2,390,6,52,949,6,87,0.3,gated-gelu,0.0001,16,83.441568,0.08727175570923823
6,relu,4,112,7,35,253,11,101,0.3,gated-gelu,5e-05,16,22.806504,0.07837381991118023
2,relu,4,201,3,5,394,26,123,0.2,gated-gelu,5e-05,8,30.107208,0.09805841609725081
2,silu,5,232,4,21,1111,14,87,0.1,gated-gelu,0.0001,16,47.984544,0.13463588168626256
3,relu,3,70,7,30,1528,26,103,0.3,gated-gelu,5e-05,8,16.245096,0.1282532356213063
4,silu,2,140,7,44,1589,14,50,0.1,relu,0.001,8,34.183184,0.13257207428357023
2,gelu_new,5,64,2,10,1012,11,69,0.3,relu,0.0001,16,12.09592,0.11020642754499672
5,silu,2,255,3,33,1283,30,118,0.2,gated-gelu,0.0001,8,54.7176,0.1316007417109065
6,silu,4,30,5,12,614,19,82,0.3,gated-gelu,0.0001,16,5.73268,0.06518969667236596
6,gelu_new,5,362,2,62,684,22,75,0.4,relu,0.0001,16,79.803976,0.07945158161903867
5,gelu_new,1,505,5,47,883,19,67,0.4,gated-gelu,5e-05,8,99.56858,0
3,relu,2,96,2,11,926,5,85,0.2,relu,0.001,16,16.12424,0.10466118374192507
5,relu,4,414,2,27,1087,23,84,0.3,relu,0.001,8,90.249056,0.14345036315828077
6,silu,5,217,7,49,1510,10,99,0.1,gated-gelu,0.0001,16,75.777828,0.13779172835717812
2,relu,1,147,3,29,498,16,43,0.5,relu,0.001,8,21.455916,0.08169282863530646
4,gelu,6,300,5,14,1739,7,107,0.2,relu,0.0001,16,85.66588,0.12700547900686018
4,gelu_new,1,39,3,16,140,15,94,0.2,relu,5e-05,8,5.4081,0.057879521416501045
3,relu,1,448,2,23,562,20,71,0.2,gated-gelu,0.0001,16,67.248704,0.0813282861531131
3,gelu,6,496,8,51,1879,5,40,0.1,gated-gelu,5e-05,8,179.409472,0.16189434366953617
4,relu,4,432,8,37,281,21,32,0.2,relu,5e-05,16,87.828672,0.11456076197215344
5,silu,4,168,8,27,817,29,62,0.5,relu,0.0001,8,39.01952,0.09734729692631611
4,relu,3,400,8,48,1646,8,124,0.1,gated-gelu,0.001,8,112.837312,0.14117805125827057
3,gelu,5,232,4,16,795,6,59,0.4,relu,0.001,8,44.70288,0.13832875064441907
