Num Hidden Layers,Hidden Activation,Number Decoder Layers,Hidden Size,Num Attention Heads,Projection Size,Intermediate Size,Relative Attention Buckets,Relative Attention Max Distance,Dropout Rate,Feed Forward Projection,Learning Rate,Batch Size,Model Size,Rouge Score,Index,evaluation_median_time,evaluation_median_cpu_energy,evaluation_median_gpu_energy,evaluation_time_q25,evaluation_time_q75,evaluation_cpu_q25,evaluation_cpu_q75,evaluation_gpu_q25,evaluation_gpu_q75
5,relu,11,483,7,19,1596,23,104,0.1,relu,5e-05,16,188.52778,0.2856875282886485,0,384300.5,17877,57605,382302.0,385950.5,17803,17948,57346,57812
6,gelu_new,8,352,1,51,708,30,47,0.2,relu,0.0001,16,79.48184,0.2525854888921969,1,274074.0,13026,26623,273473.5,275072.5,12976,13070,26492,26711
1,gelu,6,69,3,50,1477,5,53,0.3,gated-gelu,0.0001,8,16.72572,0.1390586017850347,2,409905.5,18850,33753,407406.0,411707.75,18750,19017,33583,33833
6,gelu,9,417,3,39,1555,9,128,0.1,gated-gelu,0.0001,16,150.15858,0.2721498267785552,3,323284.0,15158,45494,322185.0,323984.5,15131,15188,45326,45687
8,silu,2,301,7,34,2936,16,83,0.1,relu,0.0001,8,123.131568,0.2892514119430203,4,268874.0,12983,50223,268071.0,269873.0,12939,13039,50054,50392
12,relu,6,628,2,47,1235,10,73,0.2,gated-gelu,0.0001,8,215.097696,0.273526356475057,5,446315.0,20686,69806,443515.0,448117.0,20575,20766,69688,70039
10,silu,4,330,10,12,1349,18,62,0.1,relu,0.0001,8,103.68216,0.2845841031468257,6,351792.0,16562,54302,350892.0,353491.0,16519,16617,54174,54488
9,gelu,1,248,8,32,1825,10,41,0.3,relu,0.001,8,79.248544,0.1684382612202618,7,233463.0,11431,39373,232463.5,233662.75,11374,11491,39151,39491
8,gelu,2,736,4,45,2486,31,100,0.2,gated-gelu,0.0001,16,266.385888,0.2912043981279757,8,210058.0,10357,54801,209658.0,210260.0,10315,10412,54626,54993
11,relu,3,121,11,29,411,18,107,0.2,gated-gelu,5e-05,16,31.622756,0.1149833018108212,9,220859.5,10790,41343,220109.25,221660.0,10749,10809,41218,41442
6,silu,4,492,4,22,2371,25,60,0.2,relu,0.001,16,166.245632,0.2857756546440234,10,215658.0,10541,37799,214659.0,216060.0,10490,10594,37679,37901
7,relu,7,216,8,59,109,14,75,0.2,relu,0.0001,8,64.660064,0.2625137974131855,11,445616.0,20628,54185,444515.5,447815.25,20547,20714,53857,54366
3,relu,9,553,7,55,2400,6,106,0.2,gated-gelu,0.0001,16,270.030236,0.2931143685636136,12,326084.0,15350,61101,325087.0,327088.0,15298,15442,60838,61280
4,gelu,3,22,11,15,383,31,87,0.2,relu,0.0001,8,3.881856,0.1034087450244291,13,111233.0,6148,12130,111033.0,111635.0,6128,6184,12075,12159
9,gelu,3,288,2,49,1435,9,33,0.2,gated-gelu,5e-05,8,83.461392,0.2322895152932085,14,276873.0,13266,31246,275875.0,278074.5,13205,13320,31154,31354
2,gelu_new,9,387,9,30,2578,32,84,0.1,gated-gelu,0.001,8,170.977356,0.3060033189047924,15,522737.0,23920,56878,521385.25,525732.75,23859,24052,56687,57171
1,silu,5,576,6,31,2737,20,45,0.2,gated-gelu,5e-05,8,168.531648,0.2849419663388942,16,339290.0,15945,35772,337390.5,340389.5,15895,16009,35617,35936
12,silu,8,700,7,40,2460,6,124,0.1,gated-gelu,0.0001,8,453.348336,0.3083410317311291,17,623560.0,28536,130361,620757.0,625960.0,28456,28653,130171,130841
8,relu,3,372,12,54,166,13,96,0.3,gated-gelu,0.0001,8,107.236944,0.1398768491538893,18,316884.0,15073,58509,316085.0,317884.0,15019,15127,58309,58590
11,silu,2,546,6,56,1122,28,78,0.2,relu,0.0001,8,177.914352,0.2859681405459435,19,279273.0,13475,60309,278724.25,280425.25,13428,13521,60214,60460
5,silu,7,319,11,29,2119,15,38,0.1,relu,5e-05,8,136.830628,0.2837295241119975,20,455119.0,21071,65927,454314.0,457318.0,20992,21151,65654,66068
8,silu,11,645,5,23,1007,23,120,0.3,relu,0.0001,8,217.28078,0.2850953243096196,21,642160.0,29100,76785,638612.5,644764.75,29001,29250,76220,77123
9,silu,10,515,5,23,278,26,51,0.3,relu,0.0001,16,115.47228,0.2515831843271258,22,361295.0,16874,49831,359844.0,363645.5,16784,16924,49555,50060
4,relu,9,534,6,21,1256,8,76,0.3,gated-gelu,0.0001,8,162.0822,0.271762192562171,23,519232.0,23734,53250,516285.25,520783.5,23623,23820,53007,53469
5,relu,10,408,8,13,1314,17,49,0.3,relu,0.001,8,133.763072,0.2659957369756818,24,585150.0,26656,58056,582348.0,588400.75,26512,26809,57757,58493
8,silu,4,567,9,9,351,12,113,0.2,gated-gelu,0.001,16,103.734648,0.2626940466861664,25,218860.0,10678,36431,218260.0,219459.25,10649,10717,36337,36552
10,gelu_new,5,707,1,24,1698,13,58,0.2,relu,0.0001,8,240.37162,0.2516247257129861,26,386300.0,18079,65107,385102.0,388101.0,18050,18136,64926,65204
10,silu,7,583,11,35,2663,6,68,0.3,relu,0.001,16,372.292668,0.2422965641773242,27,391203.5,18354,101128,390452.25,393003.5,18303,18390,100983,101263
9,relu,6,676,4,2,451,6,34,0.2,relu,0.0001,8,125.303552,0.2375272229063203,28,400704.5,18603,42018,399303.5,402154.75,18550,18696,41867,42487
8,relu,4,110,10,43,1055,28,66,0.3,gated-gelu,0.0001,16,37.38904,0.0,29,84024.5,4863,22526,83825.0,84226.25,4848,4888,22464,22614
10,relu,2,315,9,38,90,18,119,0.2,gated-gelu,5e-05,16,67.335696,0.1988471540273185,30,181849.0,9096,36000,181400.0,182250.25,9068,9130,35910,36142
4,relu,8,154,7,9,1670,13,55,0.2,relu,5e-05,16,47.589192,0.1744357700906028,31,304680.0,14348,29827,303682.0,306680.0,14298,14400,29709,29959
10,silu,10,72,3,45,2833,26,81,0.1,gated-gelu,0.001,16,46.56216,0.2558399976310695,32,337289.0,15799,41253,337086.5,338990.5,15743,15826,40818,41492
8,gelu,6,278,2,14,596,21,101,0.1,relu,5e-05,16,56.783504,0.2097263481732902,33,238364.0,11445,23107,237866.0,239114.0,11400,11492,23006,23198
1,silu,2,464,8,35,1906,22,95,0.3,relu,0.0001,8,91.216384,0.2612694287080426,34,211457.0,10455,22477,210256.0,212358.0,10436,10521,22341,22574
3,relu,4,654,6,27,2326,12,108,0.2,gated-gelu,0.001,8,187.860768,0.2392184298555682,35,311081.5,14807,46356,310181.25,311882.75,14756,14851,46225,46468
2,gelu_new,4,588,12,8,1772,17,48,0.2,gated-gelu,0.001,16,134.587776,0.2742665381018496,36,194652.5,9611,28071,194453.75,195254.0,9568,9652,27895,28153
3,silu,9,616,1,42,205,17,57,0.3,gated-gelu,0.0001,16,99.996648,0.2145084633110262,37,295378.0,13905,27812,294130.0,296828.25,13859,13986,27669,27915
