Num Hidden Layers,Hidden Activation,Number Decoder Layers,Hidden Size,Num Attention Heads,Projection Size,Intermediate Size,Relative Attention Buckets,Relative Attention Max Distance,Dropout Rate,Feed Forward Projection,Learning Rate,Batch Size,Model Size,Rouge Score,Index
5,relu,11,483,7,19,1596,23,104,0.1,relu,5e-05,16,188.52778,0.2856875282886485,0
6,gelu_new,8,352,1,51,708,30,47,0.2,relu,0.0001,16,79.48184,0.25258548889219695,1
1,gelu,6,69,3,50,1477,5,53,0.3,gated-gelu,0.0001,8,16.72572,0.13905860178503474,2
6,gelu,9,417,3,39,1555,9,128,0.1,gated-gelu,0.0001,16,150.15858,0.27214982677855526,3
8,silu,2,301,7,34,2936,16,83,0.1,relu,0.0001,8,123.131568,0.28925141194302034,4
12,relu,6,628,2,47,1235,10,73,0.2,gated-gelu,0.0001,8,215.097696,0.273526356475057,5
10,silu,4,330,10,12,1349,18,62,0.1,relu,0.0001,8,103.68216,0.2845841031468257,6
9,gelu,1,248,8,32,1825,10,41,0.3,relu,0.001,8,79.248544,0.1684382612202618,7
8,gelu,2,736,4,45,2486,31,100,0.2,gated-gelu,0.0001,16,266.385888,0.29120439812797577,8
11,relu,3,121,11,29,411,18,107,0.2,gated-gelu,5e-05,16,31.622756,0.11498330181082127,9
6,silu,4,492,4,22,2371,25,60,0.2,relu,0.001,16,166.245632,0.28577565464402344,10
7,relu,7,216,8,59,109,14,75,0.2,relu,0.0001,8,64.660064,0.26251379741318553,11
3,relu,9,553,7,55,2400,6,106,0.2,gated-gelu,0.0001,16,270.030236,0.29311436856361367,12
4,gelu,3,22,11,15,383,31,87,0.2,relu,0.0001,8,3.881856,0.10340874502442911,13
9,gelu,3,288,2,49,1435,9,33,0.2,gated-gelu,5e-05,8,83.461392,0.23228951529320851,14
2,gelu_new,9,387,9,30,2578,32,84,0.1,gated-gelu,0.001,8,170.977356,0.30600331890479243,15
1,silu,5,576,6,31,2737,20,45,0.2,gated-gelu,5e-05,8,168.531648,0.2849419663388942,16
12,silu,8,700,7,40,2460,6,124,0.1,gated-gelu,0.0001,8,453.348336,0.3083410317311291,17
8,relu,3,372,12,54,166,13,96,0.3,gated-gelu,0.0001,8,107.236944,0.13987684915388934,18
11,silu,2,546,6,56,1122,28,78,0.2,relu,0.0001,8,177.914352,0.2859681405459435,19
5,silu,7,319,11,29,2119,15,38,0.1,relu,5e-05,8,136.830628,0.28372952411199753,20
8,silu,11,645,5,23,1007,23,120,0.3,relu,0.0001,8,217.28078,0.28509532430961965,21
9,silu,10,515,5,23,278,26,51,0.3,relu,0.0001,16,115.47228,0.25158318432712584,22
4,relu,9,534,6,21,1256,8,76,0.3,gated-gelu,0.0001,8,162.0822,0.27176219256217105,23
5,relu,10,408,8,13,1314,17,49,0.3,relu,0.001,8,133.763072,0.2659957369756818,24
8,silu,4,567,9,9,351,12,113,0.2,gated-gelu,0.001,16,103.734648,0.2626940466861664,25
10,gelu_new,5,707,1,24,1698,13,58,0.2,relu,0.0001,8,240.37162,0.2516247257129861,26
10,silu,7,583,11,35,2663,6,68,0.3,relu,0.001,16,372.292668,0.2422965641773242,27
9,relu,6,676,4,2,451,6,34,0.2,relu,0.0001,8,125.303552,0.23752722290632033,28
8,relu,4,110,10,43,1055,28,66,0.3,gated-gelu,0.0001,16,37.38904,0.0,29
10,relu,2,315,9,38,90,18,119,0.2,gated-gelu,5e-05,16,67.335696,0.19884715402731853,30
4,relu,8,154,7,9,1670,13,55,0.2,relu,5e-05,16,47.589192,0.17443577009060282,31
10,silu,10,72,3,45,2833,26,81,0.1,gated-gelu,0.001,16,46.56216,0.25583999763106957,32
8,gelu,6,278,2,14,596,21,101,0.1,relu,5e-05,16,56.783504,0.20972634817329025,33
