Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Size,Accuracy,FLOPS,Consumption,Flips
3,7081,1,56,1,0.3,1193,7,0.3,309,1,3,1,2.4128566584663065,0.956,0.8740599122409819,3067,69
3,7863,1,55,3,0.3,35,5,0.3,340,2,2,1,1.9719188416262883,0.96625,0.7932382163806715,3977,34
3,5034,1,96,3,0.4,930,4,0.4,268,1,3,1,3.0855458718349307,0.9325,0.9449380449225219,53,68
2,4830,1,116,3,0.4,49,4,0.4,314,2,3,1,2.909494977997077,0.94175,1.0970700640724926,195,29
2,4795,1,119,1,0.2,44,1,0.2,314,1,3,1,2.9743830473242636,0.965,1.110937940687907,0,32
3,5096,1,123,1,0.3,45,3,0.3,309,2,3,1,3.231458387785135,0.95725,1.1837854074025433,0,18
3,6405,1,55,1,0.2,583,5,0.2,309,3,3,1,1.9080048506953085,0.96825,0.7017016278751832,1789,36
2,5002,1,111,1,0.2,533,3,0.2,311,2,3,1,3.27582066171315,0.96175,1.1898188436305392,151,16
3,8665,1,56,1,0.3,800,8,0.3,280,2,3,1,2.517331386850629,0.93775,0.8026125260061141,6749,21
3,12340,1,54,1,0.3,554,6,0.3,308,2,3,1,3.1138108500347887,0.96525,1.0643826349841818,6429,39
3,4796,1,108,1,0.4,550,1,0.4,260,1,3,2,3.0744961102447115,0.917,0.9123132082591746,0,128
3,8061,1,52,3,0.2,2271,4,0.2,313,2,3,1,2.83870173098645,0.96225,0.9939462801460215,10097,30
3,6296,1,57,3,0.3,1197,3,0.3,309,2,2,1,2.208708863752263,0.96175,0.7827298153598665,5732,28
3,6374,1,54,2,0.2,543,2,0.2,343,1,2,2,1.836032712488131,0.95225,0.7412545167367428,6678,55
3,4868,1,116,1,0.3,860,1,0.3,313,3,3,1,3.6902795390200813,0.961,1.3318318021781377,0,42
3,4904,1,107,2,0.3,46,1,0.3,312,1,3,1,2.7477805591610696,0.9595,1.0611301890508178,0,62
3,7225,1,55,3,0.3,753,1,0.3,345,2,2,1,2.1964429726271755,0.9655,0.8799050576486888,5289,35
3,4824,1,115,1,0.3,35,1,0.3,298,2,3,1,2.8509105975137583,0.9595,1.0021342060535363,0,52
2,4878,1,108,1,0.4,544,3,0.4,299,1,2,1,3.141639452801749,0.9535,1.1001951322315602,0,80
3,5024,1,116,2,0.2,87,4,0.2,275,2,2,2,2.999179823709677,0.958,0.9660376525383026,1786,39
