Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Accuracy,Prediction Flips
Word,17105,10,88,silu,0.3,2917,8,0.3,420,relative_key,0.0001,16,0.9269997079988319,111
Unigram,21823,5,55,silu,0.4,1330,11,0.4,470,relative_key,0.0001,16,0.9089899661437673,111
Unigram,33357,9,110,gelu,0.2,966,1,0.2,504,absolute,0.001,8,0.3333333333333333,0
WordPiece,39697,3,98,relu,0.3,1766,7,0.3,479,relative_key,0.001,8,0.3333333333333333,0
Unigram,11590,1,72,gelu,0.2,1547,6,0.2,493,absolute,0.001,8,0.9674990168452595,100
WordPiece,30761,4,144,gelu_new,0.3,521,9,0.3,431,relative_key,0.001,8,0.3333333333333333,0
Word,8564,9,35,relu,0.5,83,5,0.5,445,relative_key,0.0001,16,0.8609231948343472,73
BPE,30032,5,160,silu,0.4,2672,10,0.4,328,relative_key_query,5e-05,16,0.9102497251397832,145
Unigram,45524,8,240,relu,0.4,2112,5,0.4,347,absolute,5e-05,8,0.9074999074999075,176
WordPiece,3566,10,252,silu,0.3,1971,4,0.3,460,absolute,0.0001,16,0.9474974273739413,115
Unigram,24822,6,230,gelu_new,0.4,2984,10,0.4,293,relative_key_query,0.001,16,0.3333333333333333,0
BPE,37162,4,120,relu,0.3,1675,2,0.3,391,relative_key_query,0.0001,8,0.9422337929685397,84
WordPiece,26671,11,212,relu,0.2,901,2,0.2,301,relative_key_query,0.0001,16,0.961494455201549,105
BPE,2569,7,176,gelu_new,0.5,1239,4,0.5,258,relative_key,0.0001,16,0.9347455586195834,93
WordPiece,15314,11,41,gelu_new,0.3,188,1,0.3,274,relative_key_query,5e-05,16,0.8999867732507625,165
WordPiece,7589,7,126,gelu,0.5,2555,6,0.5,401,relative_key,5e-05,16,0.9206428231728714,98
Unigram,35324,12,21,relu,0.3,2170,3,0.3,362,relative_key,0.0001,8,0.8668568854710466,37
BPE,19181,3,153,silu,0.4,716,9,0.4,342,relative_key,0.0001,8,0.9624999906249976,95
Word,41933,2,192,silu,0.4,2366,8,0.4,319,absolute,5e-05,8,0.8178830163599021,213
Unigram,12769,3,209,gelu,0.4,424,11,0.4,378,relative_key,0.0001,8,0.9642416839566252,112
Unigram,22178,7,241,gelu,0.4,48,1,0.4,318,relative_key_query,0.0001,8,0.9622546552591847,64
Unigram,24201,12,160,relu,0.5,1814,4,0.5,394,relative_key,0.001,8,0.6666666666666666,4000
