Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Model Size,Accuracy,Prediction Flips
Word,17105,10,88,silu,0.3,2917,8,0.3,420,relative_key,0.0001,16,28.304144,0.5,0
Unigram,21823,5,55,silu,0.4,1330,11,0.4,470,relative_key,0.0001,16,8.238108,0.9505,62
Unigram,33357,9,110,gelu,0.2,966,1,0.2,504,absolute,0.001,8,24.684024,0.5,0
WordPiece,39697,3,98,relu,0.3,1766,7,0.3,479,relative_key,0.001,8,20.662744,0.9630000000000001,96
Unigram,11590,1,72,gelu,0.2,1547,6,0.2,493,absolute,0.001,8,4.64818,0.9781249999999999,69
WordPiece,30761,4,144,gelu_new,0.3,521,9,0.3,431,relative_key,0.001,8,22.14172,0.5,4000
Word,8564,9,35,relu,0.5,83,5,0.5,445,relative_key,0.0001,16,1.734236,0.5,0
BPE,30032,5,160,silu,0.4,2672,10,0.4,328,relative_key_query,5e-05,16,39.080648,0.9496249999999999,134
Unigram,45524,8,240,relu,0.4,2112,5,0.4,347,absolute,5e-05,8,84.786632,0.5,0
WordPiece,3566,10,252,silu,0.3,1971,4,0.3,460,absolute,0.0001,16,55.102544,0.790625,2464
Unigram,24822,6,230,gelu_new,0.4,2984,10,0.4,293,relative_key_query,0.001,16,61.948064,0.5,4000
BPE,37162,4,120,relu,0.3,1675,2,0.3,391,relative_key_query,0.0001,8,25.729368,0.967375,51
WordPiece,26671,11,212,relu,0.2,901,2,0.2,301,relative_key_query,0.0001,16,48.335796,0.5,4000
BPE,2569,7,176,gelu_new,0.5,1239,4,0.5,258,relative_key,0.0001,16,18.184524,0.5,0
WordPiece,15314,11,41,gelu_new,0.3,188,1,0.3,274,relative_key_query,5e-05,16,3.61464,0.899875,59
WordPiece,7589,7,126,gelu,0.5,2555,6,0.5,401,relative_key,5e-05,16,24.269092,0.5,0
Unigram,35324,12,21,relu,0.3,2170,3,0.3,362,relative_key,0.0001,8,7.60478,0.5,4000
BPE,19181,3,153,silu,0.4,716,9,0.4,342,relative_key,0.0001,8,16.126844,0.968375,71
Word,41933,2,192,silu,0.4,2366,8,0.4,319,absolute,5e-05,8,41.475576,0.95875,93
Unigram,12769,3,209,gelu,0.4,424,11,0.4,378,relative_key,0.0001,8,15.91334,0.97125,59
Unigram,22178,7,241,gelu,0.4,48,1,0.4,318,relative_key_query,0.0001,8,29.679056,0.74325,152
Unigram,24201,12,160,relu,0.5,1814,4,0.5,394,relative_key,0.001,8,49.13668,0.5,0
BPE,43244,12,110,gelu,0.3,1104,11,0.3,380,relative_key_query,5e-05,8,33.5436,0.904875,337
Unigram,4647,8,132,relu,0.3,369,11,0.3,430,relative_key,0.001,16,8.4482,0.5,4000
WordPiece,41422,10,65,silu,0.2,728,5,0.2,419,absolute,0.001,16,15.537348,0.5,0
