Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Accuracy,Prediction Flips,evaluation_median_time,evaluation_median_cpu_energy,evaluation_median_gpu_energy,evaluation_time_q25,evaluation_time_q75,evaluation_cpu_q25,evaluation_cpu_q75,evaluation_gpu_q25,evaluation_gpu_q75
Word,17105,10,88,silu,0.3,2917,8,0.3,420,relative_key,0.0001,16,0.926999707998832,111,118830.0,5591,38771,118631.0,118932.0,5579,5609,38714,38831
Unigram,21823,5,55,silu,0.4,1330,11,0.4,470,relative_key,0.0001,16,0.9089899661437671,111,88024.0,4270,25546,87825.0,88224.0,4265,4285,25488,25587
Unigram,33357,9,110,gelu,0.2,966,1,0.2,504,absolute,0.001,8,0.3333333333333333,0,45013.0,2451,12667,44813.0,45013.0,2445,2461,12613,12703
WordPiece,39697,3,98,relu,0.3,1766,7,0.3,479,relative_key,0.001,8,0.3333333333333333,0,48414.0,2562,12859,48214.0,48414.0,2551,2578,12838,12904
Unigram,11590,1,72,gelu,0.2,1547,6,0.2,493,absolute,0.001,8,0.9674990168452596,100,19007.0,1146,2455,19006.0,19207.0,1137,1151,2436,2468
WordPiece,30761,4,144,gelu_new,0.3,521,9,0.3,431,relative_key,0.001,8,0.3333333333333333,0,58816.0,3013,16327,58619.5,58817.0,3003,3024,16280,16353
Word,8564,9,35,relu,0.5,83,5,0.5,445,relative_key,0.0001,16,0.8609231948343472,73,67818.0,3343,18235,67619.0,67819.0,3330,3349,18205,18279
BPE,30032,5,160,silu,0.4,2672,10,0.4,328,relative_key_query,5e-05,16,0.9102497251397832,145,73820.0,3650,22424,73620.0,73820.0,3642,3668,22396,22441
Unigram,45524,8,240,relu,0.4,2112,5,0.4,347,absolute,5e-05,8,0.9074999074999076,176,50216.0,2684,16402,50214.0,50565.5,2670,2712,16365,16422
WordPiece,3566,10,252,silu,0.3,1971,4,0.3,460,absolute,0.0001,16,0.9474974273739412,115,103627.0,4938,37627,103427.0,103827.0,4927,4950,37587,37672
Unigram,24822,6,230,gelu_new,0.4,2984,10,0.4,293,relative_key_query,0.001,16,0.3333333333333333,0,115831.0,5503,36530,115830.0,116030.0,5490,5517,36461,36596
BPE,37162,4,120,relu,0.3,1675,2,0.3,391,relative_key_query,0.0001,8,0.9422337929685396,84,33210.0,1909,8730,33010.0,33210.25,1904,1914,8703,8767
WordPiece,26671,11,212,relu,0.2,901,2,0.2,301,relative_key_query,0.0001,16,0.961494455201549,105,52015.0,2664,17264,52014.0,52215.0,2650,2686,17217,17310
BPE,2569,7,176,gelu_new,0.5,1239,4,0.5,258,relative_key,0.0001,16,0.9347455586195834,93,49814.0,2568,13640,49813.0,49815.0,2559,2580,13596,13668
