Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size
2,7818,9,168,2,0.4,402,6,0.4,326,3,1,1
2,14672,10,20,2,0.3,1541,10,0.3,408,2,2,2
3,11548,2,206,1,0.4,2933,1,0.4,485,3,2,1
3,31980,8,33,4,0.4,3045,11,0.4,257,1,2,1
4,10567,11,138,2,0.3,2206,2,0.3,506,1,3,2
3,29001,7,56,2,0.4,1707,7,0.4,433,2,2,1
2,40538,8,180,3,0.2,1399,9,0.2,397,2,2,1
2,5194,8,120,3,0.4,2723,10,0.4,436,1,2,2
4,15997,3,248,2,0.3,2246,2,0.3,328,3,3,2
3,5532,5,104,3,0.2,2629,4,0.2,372,3,2,1
3,43652,9,253,4,0.4,345,11,0.4,304,2,2,1
2,33153,6,24,2,0.5,2361,8,0.5,447,2,2,1
1,30545,5,150,4,0.2,2041,6,0.2,428,2,3,1
3,18217,10,225,2,0.3,2025,3,0.3,380,1,2,1
4,17339,2,164,3,0.3,1910,4,0.3,479,3,2,1
3,20562,11,108,2,0.5,272,6,0.5,301,3,3,1
1,35482,4,80,3,0.4,896,2,0.4,335,2,1,1
2,4388,12,48,3,0.3,1320,8,0.3,490,1,3,2
1,13048,4,245,4,0.3,2442,5,0.3,387,3,2,1
3,27930,12,171,2,0.2,2990,9,0.2,349,2,2,2
2,23682,2,112,2,0.3,1050,7,0.3,358,2,1,2
2,31060,7,22,1,0.3,769,11,0.3,457,1,2,2
2,41451,5,72,3,0.3,2577,4,0.3,316,3,2,1
4,36616,9,69,1,0.4,721,3,0.4,463,2,1,1
2,42243,8,202,3,0.5,124,1,0.5,359,2,3,1
4,42776,4,60,3,0.3,1126,10,0.3,375,1,3,2
3,8444,1,48,3,0.3,41,4,0.3,420,2,1,2
2,21452,5,182,4,0.3,1131,7,0.3,293,1,3,2
1,33660,10,132,3,0.4,1810,11,0.4,269,2,1,1
1,16735,11,216,2,0.5,2126,9,0.5,390,2,3,2
4,9900,1,232,3,0.3,2808,8,0.3,320,2,1,2
3,38826,8,90,3,0.3,1251,9,0.3,312,1,3,1
2,12623,4,194,1,0.4,2517,2,0.4,413,3,3,2
1,19595,9,96,4,0.5,324,6,0.5,492,2,1,1
2,37982,6,141,1,0.4,961,1,0.4,280,3,2,2
3,28777,10,117,2,0.4,1602,3,0.4,263,3,2,1
3,1845,4,35,4,0.3,2883,7,0.3,466,3,2,2
1,25933,10,132,1,0.2,861,11,0.2,508,1,3,2
1,44935,3,180,1,0.5,1766,10,0.5,285,2,2,2
3,26865,7,147,1,0.4,2292,1,0.4,290,2,1,2
2,45458,3,63,3,0.2,178,3,0.2,344,1,2,1
4,21783,11,216,2,0.3,1484,8,0.3,340,1,1,2
3,6927,1,190,4,0.2,632,5,0.2,367,2,2,1
4,24407,11,240,3,0.4,1976,6,0.4,403,1,1,1
4,37855,6,98,2,0.5,682,7,0.5,444,2,2,1
1,3258,7,220,2,0.4,2703,5,0.4,425,2,2,2
3,2289,6,160,1,0.4,1204,8,0.4,273,2,2,2
2,14488,3,90,3,0.4,540,3,0.4,476,2,1,2
2,22641,3,229,2,0.2,1624,1,0.2,501,2,2,2
3,34529,6,40,3,0.5,507,5,0.5,455,2,1,2
